39346,Devínska cesta,2998
54191,Pod Oblazom,2545
72908,Zalomená,1530
70440,Poľná,1981
45178,Lipová,2016
65450,Kurská,3028
62874,Sadová ulica,1487
41599,Hanzlíčkova,3001
49088,Leninova,2934
45814,Pri štadióne,909
42681,Kalinčiakova,2334
57590,Za Štadiónom,1787
54007,Tatranská,320
46389,Antonstál,1781
71585,Ulica pri jazere I.,127
3797909,J. K. Holuba,2224
70564,Ulica na nádvorí,2140
41267,Technická,3001
49055,Krátka,3008
44970,Soroš,897
72810,Pri Krásnej,3029
71936,Pod skalou,1126
48937,Havrania,3008
51415,Levická cesta,1586
56799,Na Tále,390
63193,M.Janošku,272
42515,Gaštanová,1501
72129,Limbová ulica,2133
51234,Viničná,1178
58713,Ulica Janka Kráľa,1560
39850,Kremnická,2996
54325,Kvetna,571
72645,Bociania,2998
43312,Mierová,700
51361,Hlavná ulica,2296
72789,Železničná,2254
67523,Turčianska,2430
61300,Školská,2124
66107,Alej Dukelských Hrdinov,2239
39264,Borovicová,2992
44024,Pasienky,802
39105,Šinkovské,2990
49030,Košická,3008
48295,Ulica J. Gramantíka,2140
56596,Gagarínová,1834
72073,Púpavová,601
44445,Pekárska,2340
61933,Gabriela Kapyho,1203
53533,Do Brezníka,320
65872,Vrbárska,97
72101,Józsefa Nagy Rátza,111
69387,Vajanského,2835
72716,Priemyselná,2068
67717,Hodvábna,2580
50646,Komárňanská,2523
72855,Jantárová ulica,390
69689,Adamov,809
72082,Narcisová,805
62479,Slepá,1197
72053,Študentská,666
71616,Milana Rúfusa,145
68101,Jarná,2943
4037929,Fučíkova,827
46708,Kvášovec,755
70373,Školská ulica,2638
68360,Veľkohorešská,1637
58686,J. Dózsu,439
68512,Kráľovka,1613
52159,Sihoť Zúgov,1863
41185,Poľovnícka,3001
65473,Postupimská,3028
51853,Mlynská,1707
45412,Hrádze,1357
50352,Gazdovská ul.,1281
41601,Hlavná,2890
42894,Poľná,1075
3797971,Lúčna,1765
62339,Fidlikova,1042
72544,Cintorínska,337
50674,28.októbra,782
53132,Družstevná,2352
49104,Luk,1074
67251,Horská,1379
41149,Čalovská,3001
39642,Janka Alexyho,3000
46641,Ľ. Svobodu,1847
52854,Pavlovova,2561
66320,Pasáž,1699
50819,Hviezdoslavova,310
55361,A.Sládkoviča,2833
70614,Debnárska,192
69305,M. R. Štefánika,2224
67379,Novoveská Huta,2430
48405,Kvetná ulica,2140
53547,Družstevná,2545
59256,Dobšinského,1266
58854,Poľná,788
61947,Priemyselná,1203
55141,Ľaukovská,1662
69465,Čerešňová,1781
53417,19.januára,2974
65464,Ovsená,3030
49980,Družstevná,1046
39304,Cesta Mládeže,92
39621,Júlová,92
39200,Bažantia,3001
56765,Mladých budovateľov,390
40166,Nové Záhrady IV,3002
71934,Počkaj,1126
68611,Opatovská cesta,480
39530,Hečková,1011
59311,Fraňa Kráľa,2224
69085,Spojná,2602
50622,Bajčská,1792
66954,Splavná,2239
48127,Sládkovičova,1835
42517,Brezová,2790
51570,Dostojevského,1863
43341,Obrancov mieru,2403
59481,Dr.Töröka,213
65594,1.mája,2258
47854,Kopaničky,1778
53560,Fraňa Kráľa,320
72102,Konvalinková,805
70043,Veslárska,2016
40331,Podháj,2999
59518,Krížna,213
67714,Hlavná,2479
54620,Bysterecká,721
46872,Duklianska,1762
72892,Igora Rumanského,1530
49904,Úzka,771
63683,Ulica Letná,2411
41450,Platanová,2992
58983,Záhradkárska,1557
39421,Fadruszova,2997
48552,Hurbanova,1961
44086,Ulica L.Amadého,802
54016,Trenčianska,320
45165,Krajinská,2016
68103,Na Záhumní,2943
47558,Sverepec,2511
66567,Staničná,1699
71158,Pod Grúňom,460
64801,Ku Mlynu,2969
50762,Dopravná ul.,1485
