Expozícia;Rok;Mesiac;Návštevnosť;Tržby;Školáci;Cudzinci;Zdarma
Banské múzeum v prírode;2023;1;57;342;39;2;3
Nový zámok;2023;1;177;416;0;24;11
Starý zámok;2023;1;329;1701;0;66;37
Kammerhof-Baníctvo na Slovensku;2023;1;147;665;0;19;8
Berggericht-Mineralogická expozícia;2023;1;301;790;0;0;23
Galéria Jozefa Kollára;2023;1;247;138;0;10;200
Glanzenberg štôlňa;2023;1;0;0;0;0;0
Michal štôlňa;2023;1;468;435;0;0;33
Handlová;2023;1;0;0;0;0;0
Banské múzeum v prírode;2023;2;482;3390;70;39;34
Nový zámok;2023;2;111;266,5;0;42;3
Starý zámok;2023;2;419;2034;0;62;18
Kammerhof-Baníctvo na Slovensku;2023;2;165;724;0;37;11
Berggericht-Mineralogická expozícia;2023;2;180;432;48;14;9
Galéria Jozefa Kollára;2023;2;124;231;0;17;37
Glanzenberg štôlňa;2023;2;60;480;0;0;0
Michal štôlňa;2023;2;609;569;0;0;40
Handlová;2023;2;0;0;0;0;0
Banské múzeum v prírode;2023;3;1329;8025;561;543;67
Nový zámok;2023;3;0;0;0;0;0
Starý zámok;2023;3;539;2513,5;121;179;19
Kammerhof-Baníctvo na Slovensku;2023;3;292;1259;0;12;17
Berggericht-Mineralogická expozícia;2023;3;135;356;0;3;8
Galéria Jozefa Kollára;2023;3;110;213;0;3;22
Glanzenberg štôlňa;2023;3;98;784;0;0;0
Michal štôlňa;2023;3;366;337;0;0;29
Handlová;2023;3;0;0;0;0;0
Banské múzeum v prírode;2023;4;3217;22075;1251;985;170
Nový zámok;2023;4;1405;3471,5;365;347;67
Starý zámok;2023;4;2646;13982,5;246;814;157
Kammerhof-Baníctvo na Slovensku;2023;4;557;2809;26;90;34
Berggericht-Mineralogická expozícia;2023;4;0;0;0;0;0
Galéria Jozefa Kollára;2023;4;0;0;0;0;0
Glanzenberg štôlňa;2023;4;211;1947;0;16;0
Michal štôlňa;2023;4;0;0;0;0;0
Handlová;2023;4;57;84;41;3;6
Banské múzeum v prírode;2023;5;5296;30129;3206;1243;319
Nový zámok;2023;5;1637;3797;610;364;80
Starý zámok;2023;5;2249;11032,5;387;651;134
Kammerhof-Baníctvo na Slovensku;2023;5;1022;4353,5;282;157;64
Berggericht-Mineralogická expozícia;2023;5;0;0;0;0;0
Galéria Jozefa Kollára;2023;5;0;0;0;0;0
Glanzenberg štôlňa;2023;5;156;1426;0;37;0
Michal štôlňa;2023;5;0;0;0;0;0
Handlová;2023;5;299;513;258;12;15
Banské múzeum v prírode;2023;6;6813;34457;4594;770;443
Nový zámok;2023;6;1635;3652;658;296;97
Starý zámok;2023;6;2312;11357;638;648;131
Kammerhof-Baníctvo na Slovensku;2023;6;1159;4296;420;89;80
Berggericht-Mineralogická expozícia;2023;6;0;0;0;0;0
Galéria Jozefa Kollára;2023;6;386;491;52;17;190
Glanzenberg štôlňa;2023;6;128;1141;0;50;5
Michal štôlňa;2023;6;0;0;0;0;0
Handlová;2023;6;158;285;119;4;12
Banské múzeum v prírode;2023;7;6616;54995;593;847;361
Nový zámok;2023;7;3593;10096;19;725;130
Starý zámok;2023;7;5001;27218,5;16;1134;245
Kammerhof-Baníctvo na Slovensku;2023;7;1904;8162;144;163;121
Berggericht-Mineralogická expozícia;2023;7;0;0;0;0;0
Galéria Jozefa Kollára;2023;7;495;1445;0;49;74
Glanzenberg štôlňa;2023;7;521;4658;0;74;7
Michal štôlňa;2023;7;0;0;0;0;0
Handlová;2023;7;141;368;0;13;14
Banské múzeum v prírode;2023;8;8100;67160;228;866;486
Nový zámok;2023;8;4105;11590,5;0;676;127
Starý zámok;2023;8;5598;30373;0;988;310
Kammerhof-Baníctvo na Slovensku;2023;8;1896;8514;47;262;97
Berggericht-Mineralogická expozícia;2023;8;0;0;0;0;0
Galéria Jozefa Kollára;2023;8;592;1570;48;54;86
Glanzenberg štôlňa;2023;8;590;5245;0;100;13
Michal štôlňa;2023;8;0;0;0;0;0
Handlová;2023;8;340;731;15;5;43
Banské múzeum v prírode;2023;9;3247;25995;582;534;170
Nový zámok;2023;9;1849;5168;80;464;77
Starý zámok;2023;9;2452;12893;32;630;118
Kammerhof-Baníctvo na Slovensku;2023;9;909;4167;81;176;77
Berggericht-Mineralogická expozícia;2023;9;0;0;0;0;0
Galéria Jozefa Kollára;2023;9;274;752;4;25;42
Glanzenberg štôlňa;2023;9;252;2280;0;68;2
Michal štôlňa;2023;9;0;0;0;0;0
Handlová;2023;9;60;130;20;5;4
Banské múzeum v prírode;2023;10;3046;22704;906;645;186
Nový zámok;2023;10;1224;3434;106;154;46
Starý zámok;2023;10;1874;9490;46;524;116
Kammerhof-Baníctvo na Slovensku;2023;10;1122;4960,5;145;271;93
Berggericht-Mineralogická expozícia;2023;10;0;0;0;0;0
Galéria Jozefa Kollára;2023;10;178;358;0;5;78
Glanzenberg štôlňa;2023;10;147;1532;0;8;3
Michal štôlňa;2023;10;0;0;0;0;0
Handlová;2023;10;50;127;0;7;5
Banské múzeum v prírode;2023;11;1160;10407;87;161;48
Nový zámok;2023;11;208;585;0;12;23
Starý zámok;2023;11;818;4411,5;149;118;35
Kammerhof-Baníctvo na Slovensku;2023;11;461;1993;133;64;31
Berggericht-Mineralogická expozícia;2023;11;0;0;0;0;0
Galéria Jozefa Kollára;2023;11;308;774;18;5;76
Glanzenberg štôlňa;2023;11;109;1146;0;43;3
Michal štôlňa;2023;11;0;0;0;0;0
Handlová;2023;11;54;114,5;24;1;5
Banské múzeum v prírode;2023;12;469;4099;118;88;18
Nový zámok;2023;12;0;0;0;0;0
Starý zámok;2023;12;402;2362,5;45;73;14
Kammerhof-Baníctvo na Slovensku;2023;12;341;1303;30;78;44
Berggericht-Mineralogická expozícia;2023;12;0;0;0;0;0
Galéria Jozefa Kollára;2023;12;157;351;65;8;12
Glanzenberg štôlňa;2023;12;19;171;0;4;0
Michal štôlňa;2023;12;0;0;0;0;0
Handlová;2023;12;2;3;0;0;1
